appid,ate,se,nobs,price,title,regular_price,logprice,ngames,ngames_pub,logngames,years_since_release,release_year,logyrs,indie,multiplayer,free_to_play,rich_story,difficult,early_access,remake,retro,metascore,metastd,rating_count,logratecount,date_num,wkend,is_promo,game_sponsored,game_sponsored_daily,game_primary,game_primary_daily,is_significant
221910,0.0494485103298378,0.0091499325475075,5447,,The Stanley Parable,14.99,,1,1,0,7.5698628,2013,2.14825172314665,1,0,0,1,0,0,0,0,88,2.517663,40109,10.5993809587641,0,FALSE,,0,0,0.0069204154,0,TRUE
222420,0.0633901898797675,0.0156732249907772,5447,,THE KING OF FIGHTERS '98 ULTIMATE MATCH FINAL EDITION,14.99,,1,6,0,6.4054794,2014,2.00222018566473,0,1,0,0,0,0,0,1,80,-99,1633,7.39878627541995,0,FALSE,,0,0,0.7817955,1.00000002793968,TRUE
224060,0.0165410740127479,0.0382315836536782,5447,,,0,,8,32,2.07944154167984,7.8821917,2013,2.18404833961381,,1,0,,0,,,,63,-99,,,0,FALSE,,0,,0.097560972,,FALSE
227300,0.0126750486360162,0.00153604858746923,5447,,Euro Truck Simulator 2,19.99,,2,2,0.693147180559945,8.5671234,2012,2.25833257511812,1,0,0,1,0,0,0,0,79,1.6830477,453054,13.0237688098988,0,FALSE,,0.0049930546,0,0.4935616,0.313599196326322,TRUE
227920,-0.00136440978803076,0.00886284462088965,5447,,Risk,0,,1,1,0,10.909589,2010,2.47734387395565,0,1,0,0,0,0,0,0,-99,2.0006371,277,5.62762111369064,0,FALSE,,0,,0.022222223,,FALSE
228380,0.0165154997383978,0.00281114401590075,5447,,Wreckfest,29.99,,7,42,1.94591014905531,2.9095891,2018,1.36343227896092,1,1,0,1,0,1,0,0,81,2.4491363,26408,10.181460140129,0,FALSE,,0.027592154,0.0162163469940424,0.22526407,0.0109484622662421,TRUE
230410,0.0459940288608594,0.00101641708125371,5447,0,Warframe,0,0,1,3,0,8.1342468,2013,2.21203073432333,0,1,1,0,0,0,0,0,69,2.0006371,442178,12.9994700564542,0,FALSE,,0.0091229081,0,0.73960203,0.960283672528931,TRUE
231430,-0.00164456166468794,0.000705170545437703,5447,,Company of Heroes 2,19.99,,17,84,2.83321334405622,7.8821917,2013,2.18404833961381,0,1,0,0,0,0,0,0,80,1.2990381,84150,11.3403680830896,0,FALSE,,0.0002614379,0,0.72758168,0.489226078032516,TRUE
232890,0.0854179269723921,0.00195656730581183,5447,,Stronghold Crusader 2,39.990002,,1,7,0,6.6383562,2014,2.03318242296076,1,1,0,1,0,0,0,0,65,2.9389508,11817,9.37737907190562,0,FALSE,,0,,0,,TRUE
233860,0.00357375921177678,0.000330715735507991,5447,,Kenshi,29.99,,1,1,0,2.4301369,2018,1.23260017291781,1,0,0,1,0,1,0,0,75,1.838535,46532,10.7479170172929,0,FALSE,,0,0,0.19117647,0.0219802539795637,TRUE
